Premise 1,Premise 2,Syllogistic relation,Conclusion
"unchecked imbalances in the society, will see its destabilization",correct these imbalances requires in-depth knowledge and understanding of the energies of the mineral kingdom.,no,No conclusion
"Chronic diseases are heart attacks and stroke, cancer such as breast and colon cancer, diabetes, epilepsy and seizures, obesity, and oral health problems.","In populations that eat a regular high-fiber diet of more than 50 grams of fiber per dayTrusted Source, like rural South Africans, chronic diseases are very low.",yes,"In populations that eat a regular high-fiber diet of more than 50 grams of fiber per dayTrusted Source, like rural South Africans, heart attacks and stroke, cancer such as breast and colon cancer, diabetes, epilepsy and seizures, obesity, and oral health problems are very low."
Formative assessment encourages children to enjoy learning,An ideal learning environment uses formative assessment,yes,An ideal learning environment encourages children to enjoy learning
Underrepresented female labor force in some professions cannot demand their rights of closing wage gap easily.,Job discrimination comes with underrepresented female labor force in some professions.,yes,Job discrimination comes with not being able to demand rights of closing wage gap easily.
damaged mentality in an individual brings serious health problems such as stomach reflexes.,Aggression harms the mentality of person.,yes,Aggression brings brings serious health problems such as stomach reflexes.
ElNin?o is a regulary occurring climate pattern.,A frequently repeated climate pattern is called El Nino.,no,No conclusion
Your speech creates your behavior.,your behavior is impressed by your speech,no,No conclusion
Batman used electronic disruptor to malfunction enemy’s motion detectors.,Failure of motion detectors opened an access for police forces to regain the control of Miagami Island.,yes,Batman opened an access for police forces to regain the control of Miagami Island.
"Occupational therapy can help children with coordination, focus and organizational skills. ",focused children are self-motivated,yes,Occupational therapy can help children to be self-motivated
"When global business progress, cash-flow management becomes more comfortable.", World Trade Organization work towards the facilitation and growth of international trade.,yes, World Trade Organization work towards the  more comfortable cash-flow management
Fast food is also often very low in fresh fruit and vegetables.,Foods which are often very low in fresh fruit and vegetables makes it hard for people to reach their recommended daily intake of fresh fruit at least 5 servings.,yes,Fast food makes it hard for people to reach their recommended daily intake of fresh fruit at least 5 servings.
Decreasing insulin resistance allows your body to transport glucose from your bloodstream to your cells more efficiently,Intermittent fasting reduces insulin resistance,yes,Intermittent fasting allows your body to transport glucose from your bloodstream to your cells more efficiently
The administrator at Street Help in Windsor is changing her tune.,Assessment of street situations can help the driver act better. ,no,No conclusion
"Since the supermarket opened, many small local shops have lost up to 50 percent of their trade.",Bandar Abbas is the main channel of import and export trade.,no,No conclusion
High expenses of projects are not welcomed by companies.,The corporates didn’t welcome the project due to high cost of it.,no,No conclusion
Do you like red grape or all grape varieties?,There are polyphenols in all grape types.,no,No conclusion
encouraging employment in the fast growing creative industries impacts overall unemployment,Creative services are likely to become a fastgrowing sub-sector of the creative economy.,yes,creative services could impact on overall unemployment
Asghar Farhadi has received two Academy Awards for Best Foreign Language Film for his films A Separation and The Salesman.,Receiving an oscar for best foreign movie honors the corresponding cinema industry.,yes,Asghar Farhadi honors the corresponding cinema industry.
 Worldwide agriculture is the largest employer of kids for hand working., child labor interferes with their ability to attend regular school ,yes, Worldwide agriculture is the largest employer  that interferes with children's ability to attend regular school
"In protestant reformation, criticizing the catholic was ended.",She ended to criticize and went to the church.,no,No conclusion
Exam time pressure increases stress levels,Stressing out makes digestion less efficient ,yes,Exam time pressure makes digestion less efficient 
moving to office demands money for commuting., Winning Barcelona demands high level of hard working.,no,No conclusion
Avicenna wrote famous book Al Qanun Fi Al-Tibb.,Al Qanun Fi Al-Tibb influenced modern medicine.,yes,Avicenna influenced modern medicine.
You can lower your electricity bill by using less heat.,"Less heat, reduces your electricity bill",no,No conclusion
All discoveries make people's life easier.,cars were one of the most important inventions during the last decades.,yes,cars made people's life easier during the last decades.
franchisees have the backing of an established corporation,you will experience less financial risks when you have the support of an acknowledged organization ,yes,franchisees will experience less financial risks
Flooding may occur as an overflow of water from water bodies,melting the snow on mountains may result in some of that water escaping its usual boundaries.,yes,Flooding may occur as an result of melting the snow on mountains 
"When brain chemicals function in different ways, we behave differently",Different behaviors come from different functionality of brain chemicals.,no,No conclusion
"Working animals, include horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs","Working animals,have for centuries been used to help cultivate fields, harvest crops, wrangle other animals, and transport farm products to buyers",yes,"horses, mules, oxen, water buffalo, camels, llamas, alpacas, donkeys, and dogs have for centuries been used to help cultivate fields, harvest crops, wrangle other animals, and transport farm products to buyers"
Facial expressions mean pursing your lips when inhaling and squinting your eyes to keep out smoke.,The repetitive facial expressions you make when smoking can contribute to wrinkles.,yes,"The repetitive pursing lips when inhaling and squinting your eyes to keep out smoke, when smoking can contribute to wrinkles."
Early Egyptians’ writing system were Hieroglyph.,Hieroglyphic scripting method is currently out-dated.,yes,Early Egyptians’ writing system is currently out-dated.
A very large revenue is needed for marketing on national media.,Marketing on national media can not be done without a very large revenue,no,No conclusion
One of the factors that leads to the cultivation of violent conduct is consuming violent and sadistic material.,violent and abusive content can result in aggressive behaviour,no,No conclusion
Soldiers in the war dug the trenches all around the battlefield.,Excavating ground to a certain depth minimizes the projectile impact of enemy’s artillery.,yes,Soldiers minimized the projectile impact of enemy’s artillery.
A low-calorie and high-protein diet are advised for dropping weight.,For loosing weight you should use a diet which is extremely low in calories and high in protein.,no,No conclusion
MC1R is the gene responsible for determining hair color.,"If the MC1R gene is active, it produces eumelanin and a person will have darker skin and hair.",yes,"If the gene responsible for determining hair color is active, it produces eumelanin and a person will have darker skin and hair."
The first few weeks after someone contracts HIV is called the acute infection stage.,"During acute infection stage the virus reproduces rapidly, the person’s immune system responds by producing HIV antibodies.",yes,"During the first few weeks after someone contracts HIV the virus reproduces rapidly, the person’s immune system responds by producing HIV antibodies."
"Atherosclerosis is a disease characterized by fatty, artery-clogging deposits.",Consuming too much sugar especially from sugar-sweetened drinks has been kinked to atherosclerosis.,yes,"Consuming too much sugar especially from sugar-sweetened drinks has been kinked to a disease characterized by fatty, artery-clogging deposits."
The body ought to get burried beneath a thick layer of soil in a deep grave.,Miners ought to work in deep beneath the surface.,no,No conclusion
The Manchester University is hiring bilingual teachers with advanced readind writing skills.,bilingual reading could improve your writing vocabulary,no,No conclusion
Your speech creates your behavior., Your thoughts make up your speech.,yes,Your thoughts creates your behavior.
this lamp is very expensive ,I will not buy thing that are too expensive,yes,I won't buy this lamp
First revolution season of youngest memberships for the Iranian are currently on sale.,"Azari Jahromi is currently the youngest member of the cabinet of Iran, as well as the first Iranian minister born after the Iranian Revolution.",no,No conclusion
The power plant burns used vehicle tires as fuel.,Graphite is difficult to burn and is not so commonly used as fuel,no,No conclusion
Robins should be on the same group with chickens just with a more beautiful appearance.,"All birds, including flying and flightless, have feathers.",yes,Robins have feathers.
It is possible to keep customers satisfied by following through with promises,"Even if the ALT level or the HBV DNA level shows mild elevations, it is possible to keep following up without retreatment.",no,No conclusion
The literacy rate has fallen due to the free writing and reading classes proveded by non- profits.,not being able to read or write defines illiteracy,no,No conclusion
Farmers grow a huge amount of crops in Iran each year.,Growing a wide range of crops helps the economic by making it needless of importing.,yes,Farmers help the economic.
if your financial accounts are held on a bank's server then all of your personal information is at risk,The issue of bail will only be of interest to you if you are held on remand awaiting your trial.,no,No conclusion
Good quality seed is essential for the production of a crop suitable for export.,Biotin is essential for the production of a hair protein called keratin,no,No conclusion
